player,role
Amygdalae,Healer
Belois,Healer
Beroman,Healer
Brohamprime,Tank
Brokensoul,DPS
Brosham,DPS
Critonmyface,Tank
Dotzya,DPS
Edond,DPS
Emokswftotem,Healer
Enzley,Healer
Fireballboii,DPS
Gronkz,DPS
Hige,Tank
Hiillary,DPS
Ismashyouall,Healer
Javiap,DPS
Johssika,DPS
Kiorie,DPS
Kjellgrimr,DPS
Korpiklani,DPS
Kryxus,DPS
Kuroshin,Healer
Kuthman,DPS
Kyrx,Healer
Lachpatch,DPS
Oldbuck,DPS
Qiqimeng,DPS
Richdurnap,DPS
Roblinza,DPS
Sansaan,DPS
Sckprime,Healer
Shadowfx,Healer
Shagging,DPS
Sophiesdad,Tank
Telemanus,Healer
Thethiicness,Tank
Tocyngr,DPS
Tritha,DPS
Tungdill,DPS
Warez,DPS
Whirligig,Healer
Wikit,Healer
Xiaomeng,DPS
Mythicdark,PUG
Kaiphin,Tank
Mooshinator,DPS
Galadoris,PUG
Moonshíner,PUG
Melisendre,PUG
