id,name,prio,zone,boss,note
30870,Cuffs of Devastation,Arcane Mage > Balance Druid > Elemental Shaman,Mount Hyjal,Rage Winterchill,
30863,Deadly Cuffs,DPS Warrior > Enhancement Shaman,Mount Hyjal,Rage Winterchill,
30868,Rejuvenating Bracers,Resto Druid,Mount Hyjal,Rage Winterchill,
30862,Blessed Adamantite Bracers,Holy Paladin,Mount Hyjal,Rage Winterchill,
30872,Chronicle of Dark Secrets,Arcane Mage = Destruction Warlock > Balance Druid = Elemental Shaman > Shadow Priest,Mount Hyjal,Rage Winterchill,
30888,Anetheron's Noose,Arcane Mage > Balance Druid = Destruction Warlock,Mount Hyjal,Anetheron,"Locks can use Blasting until near bis when they want to drop hit, Balance likely won't use until Skull"
30879,Don Alejandro's Money Belt,Survival Hunter > BM Hunter > Feral Druid,Mount Hyjal,Anetheron,
30881,Blade of Infamy,Survival Hunter > BM Hunter > Rogue > DPS Warrior,Mount Hyjal,Anetheron,"Can prio very unlucky sword melee users that might not have Talon, (Could alternate between Surv first > BM > Surv second)"
30883,Pillar of Ferocity,Feral Druid (Bear) > Feral Druid (Cat),Mount Hyjal,Anetheron,
30882,Bastion of Light,Resto Shaman > Holy Paladin,Mount Hyjal,Anetheron,
30895,Angelista's Sash,Holy Priest > Resto Druid,Mount Hyjal,Kaz'Rogal,
30916,Leggings of Channeled Elements,Shadow Priest > Elemental Shaman > Balance Druid > Destruction Warlock,Mount Hyjal,Kaz'Rogal,Consider locks without Vashj Chest
30914,Belt of the Crescent Moon,Balance Druid > Elemental Shaman,Mount Hyjal,Kaz'Rogal,
30893,Sun-touched Chain Leggings,Resto Shaman = Holy Paladin,Mount Hyjal,Kaz'Rogal,
30918,Hammer of Atonement,Holy Paladin > Resto Shaman > Holy Priest > Resto Druid,Mount Hyjal,Kaz'Rogal,
30889,Kaz'rogal's Hardened Heart,Prot Warrior,Mount Hyjal,Kaz'Rogal,
30900,Bow-stitched Leggings,Survival Hunter > Ret Paladin = Enhancement Shaman > BM Hunter,Mount Hyjal,Azgalor,
30897,Girdle of Hope,Holy Paladin,Mount Hyjal,Azgalor,
30901,Boundless Agony,BM Hunter,Mount Hyjal,Azgalor,
31092,Gloves of the Forgotten Conqueror,Prot Paladin > Destruction Warlock > Shadow Priest > Holy Priest,Mount Hyjal,Azgalor,
31094,Gloves of the Forgotten Protector,BM Hunter > Survival Hunter > Elemental Shaman > 2H Arms Warrior 4 Piece > Resto Shaman > Fury Warrior 4 Piece > Kebab 4 Piece,Mount Hyjal,Azgalor,
31093,Gloves of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Feral Druid (Cat) > Balance Druid,Mount Hyjal,Azgalor,
30912,Leggings of Eternity,Holy Priest > Resto Druid,Mount Hyjal,Archimonde,
30905,Midnight Chestguard,Ret Paladin > Enhancement Shaman > Rogue > DPS Warrior,Mount Hyjal,Archimonde,
30911,Scepter of Purification,Holy Priest = Resto Druid,Mount Hyjal,Archimonde,
30910,Tempest of Chaos,Prot Paladin > Arcane Mage >= Destruction Warlock,Mount Hyjal,Archimonde,If balanced skew Mage = Warlocks
